subject	section	front	back
Mathematics	Geometry	A circle has center $O$, chord $\overline{AB} = 24$, and area $= 530.929$. Find the measure of minor arc $AB$. (nearest tenth)	134.8° ($\pi r^2 = 530.929 \Rightarrow r = 13$; chord $= 2r\sin(\theta/2) \Rightarrow \sin(\theta/2) = \frac{12}{13} \Rightarrow \theta \approx 134.8°$)
Mathematics	Geometry	A circle has radius 13 and chord $\overline{AB} = 24$. Find the area bounded by minor arc $AB$ and chord $\overline{AB}$. (nearest tenth)	138.7 ($\theta \approx 2.352$ rad; sector area $= \frac{1}{2}(169)(2.352) \approx 198.7$; triangle area $= \frac{1}{2}r^2\sin\theta = \frac{1}{2}(169)\frac{120}{169} = 60$; segment $\approx 138.7$)
Mathematics	Geometry	$\triangle ABC \sim \triangle DEF$ with $AB = 10$, $AC = 8$, and $DE = 7$. Find $DF$. (nearest tenth)	5.6 (scale factor $= \frac{DE}{AB} = \frac{7}{10}$; $DF = 8 \times \frac{7}{10} = 5.6$)
Mathematics	Algebra 2	Find the sum of the Fibonacci-type series $12 + 9 + 21 + 30 + 51 + \cdots + 558 + 903$.	2355 (11 terms; Fibonacci-type sum property: $S_n = a_{n+2} - a_2$; $a_{12}=1461$, $a_{13}=2364$; $S_{11} = 2364 - 9 = 2355$)
Mathematics	Algebra 2	An arithmetic sequence has a 4th term of 33 and a 9th term of 73. Find the sum of the first 13 terms.	741 ($d = 8$, $a_1 = 9$; $S_{13} = \frac{13}{2}(2(9)+12(8)) = \frac{13}{2}(114) = 741$)
Mathematics	Algebra 2	Consider the geometric sequence $48,\ a,\ b,\ c,\ 23\frac{4}{27},\ d,\ \ldots$ with $a > 0$. Find $b$.	$33\frac{1}{3}$ ($a_5 = \frac{625}{27}$; $r^4 = \frac{625/27}{48} = \frac{625}{1296}$; $r = \frac{5}{6}$; $b = a_3 = 48 \cdot \left(\frac{5}{6}\right)^2 = \frac{100}{3}$)
Mathematics	Algebra 2	Using the geometric sequence $48,\ a,\ b,\ c,\ 23\frac{4}{27},\ d,\ \ldots$ with $r = \frac{5}{6}$, find the sum of the first 8 terms. (nearest whole number)	221 $\left(S_8 = 48 \cdot \dfrac{1-(5/6)^8}{1-5/6} = 288\left(1-\dfrac{5^8}{6^8}\right) \approx 221\right)$
Mathematics	Geometry	A right circular cone has a diameter of 12 and a slant height of 10. Find the volume. (nearest tenth)	$301.6$ ($r=6$; $h = \sqrt{10^2-6^2} = 8$; $V = \frac{1}{3}\pi(36)(8) = 96\pi \approx 301.6$)
Mathematics	Algebra 1	Madison drives 1964 miles in 4 days. She drove 485 mi at 59 mph, 611 mi at 67 mph, and 447 mi at 62 mph on the first three days. What average speed must she maintain on day 4 for an overall average of 63 mph? (nearest tenth)	63.5 mph (total time needed $= 1964/63 \approx 31.175$ hr; time used $\approx 24.549$ hr; day 4: $421 \div 6.626 \approx 63.5$ mph)
Mathematics	Statistics	Coach Perkins has 3 posts, 8 wings, and 4 guards. A starting lineup requires 1 post, 2 wings, and 2 guards. How many starting lineups are possible?	504 $\left(\binom{3}{1}\binom{8}{2}\binom{4}{2} = 3 \times 28 \times 6 = 504\right)$
Mathematics	Algebra 2	$f(x) = 17x^{3/2}$ and $h(x) = \sqrt[3]{x-22}$. Find $f(h(86))$. (nearest whole number)	136 ($h(86) = \sqrt[3]{64} = 4$; $f(4) = 17 \cdot 4^{3/2} = 17 \times 8 = 136$)
Mathematics	Algebra 2	Find the remainder when $x^4 - 3$ is divided by $x^2 - 1$.	$-2$ ($x^4-3 = (x^2-1)(x^2+1) - 2$; remainder $= -2$)
Mathematics	Pre-Calc	When $\mathbf{v} = -18\mathbf{i} + 5\mathbf{j}$ is converted to polar form, $|\mathbf{v}| \approx 18.7$. Which of these could be $\theta$? (A) $-254.5°$ (B) $-195.5°$ (C) $74.5°$ (D) $166.5°$ (E) $195.5°$	B) $-195.5°$ (standard angle $= 180° - \arctan\!\left(\frac{5}{18}\right) \approx 164.5°$; coterminal negative angle: $164.5° - 360° = -195.5°$)
Mathematics	Algebra 2	On Rihot's farm, the number of cows varies inversely as the number of pigs and directly as the square of the number of chickens. Initially: 400 cows, 20 chickens, 40 pigs. How many cows when there are 4 pigs and 16 chickens?	2560 ($C = k\dfrac{\text{chickens}^2}{\text{pigs}}$; $k = \frac{400 \times 40}{400} = 40$; $C = 40 \cdot \frac{256}{4} = 2560$)
Mathematics	Algebra 2	$f(x) = 6x-1$ and $h(x) = x^2+8$. Find $(h \circ f)(2)$.	129 ($f(2) = 11$; $h(11) = 121+8 = 129$)
Mathematics	Algebra 2	The roots of $12x^2 + bx + c = 0$ are $-\dfrac{1}{3}$ and $\dfrac{3}{4}$. Find $b + c$.	$-8$ (sum of roots $= \frac{5}{12} = -b/12 \Rightarrow b=-5$; product $= -\frac{1}{4} = c/12 \Rightarrow c=-3$; $b+c=-8$)
Mathematics	Statistics	Six math team members and their coach sit in a circle at a round table with 7 seats. How many seating arrangements are possible?	720 (circular permutations $= (7-1)! = 6! = 720$)
Mathematics	Geometry	Find the area of the circle defined by $x^2 + y^2 - 8x - 12y - 36 = 0$. (nearest hundredth)	276.46 (complete the square: $(x-4)^2+(y-6)^2=88$; area $= 88\pi \approx 276.46$)
Mathematics	Geometry	A regular octagon has a perimeter of 32. Find its area. (nearest whole number)	77 (side $= 4$; area of regular octagon $= 2(1+\sqrt{2})s^2 = 2(1+\sqrt{2})(16) = 32(1+\sqrt{2}) \approx 77$)
Mathematics	Pre-Calc	At 6:00 AM, a clock's hour and minute hands point in opposite directions. How long until the hands point in the same direction? (nearest tenth)	32.7 min (let $t$ = minutes after 6:00; minute hand at $6t°$, hour hand at $180+0.5t°$; $6t = 180+0.5t \Rightarrow t = \frac{180}{5.5} \approx 32.7$)
Mathematics	Statistics	Allison Engineering has 3 open positions. 12 A&M grads and 10 UT grads apply. The first position must be filled by an A&M grad. How many ways can the 3 positions be filled?	5040 (first position: 12 choices; remaining 2 from 21 people: $21 \times 20 = 420$; total $= 12 \times 420 = 5040$)
Mathematics	Pre-Calc	$y = -4x^2 + 6$ is parameterized with $x = -t+3$, giving $y = at^2 + bt + c$. Find $a + b + c$.	$-10$ (substitute $x=-t+3$: $y = -4(-t+3)^2+6 = -4t^2+24t-30$; $a+b+c = -4+24-30 = -10$)
Mathematics	Geometry	Find the area of the parallelogram with vertices $A(6,4,-2)$, $B(-4,4,-6)$, $C(-4,10,-8)$, $D(6,10,-4)$. (nearest tenth)	67.6 ($\overrightarrow{AB}=(-10,0,-4)$, $\overrightarrow{BC}=(0,6,-2)$; $|\overrightarrow{AB}\times\overrightarrow{BC}| = |(24,-20,-60)| = \sqrt{4576} \approx 67.6$)
Mathematics	Pre-Calc	Consider $f(x) = \dfrac{x^2+3x-28}{2x^2+9x-35}$. Which of the following are true? I. $f(x)$ is not continuous at $x=-7$ and $x=4$. II. Vertical asymptotes at $x=-7$ and $x=2.5$. III. Horizontal asymptote $y=0.5$.	III only. (factor: $\frac{(x+7)(x-4)}{(x+7)(2x-5)}$; $x=-7$ is a removable hole, not an asymptote; $x=4$ is continuous ($f(4)=0$); only $x=2.5$ is a vertical asymptote; leading coefficients give $y=\frac{1}{2}$)
Mathematics	Calculus	If $y = \sec(x)$, find $\dfrac{d^2y}{dx^2}$.	$\sec(x)\tan^2(x) + \sec^3(x)$ ($y' = \sec x\tan x$; $y'' = \sec x\tan^2 x + \sec^3 x$ by product rule)
Mathematics	Calculus	A 200-meter track runs around the outside of a rectangle with a semicircle on each end. To maximize the rectangular area, how long should the radius of each semicircle be? (nearest tenth)	15.9 m (rect area $= 2r(100-\pi r)$; maximize: $\frac{dA}{dr}=200-4\pi r=0 \Rightarrow r = \frac{50}{\pi} \approx 15.9$)
Mathematics	Calculus	Find the area of one petal of the rose curve $r = 6\cos(3\theta)$. (nearest tenth)	9.4 ($A = \frac{1}{2}\int_{-\pi/6}^{\pi/6}36\cos^2(3\theta)\,d\theta = 9\left[\theta+\frac{\sin 6\theta}{6}\right]_{-\pi/6}^{\pi/6} = 3\pi \approx 9.42$)
Mathematics	Calculus	Use the trapezoidal rule with 6 equal subintervals to approximate the area bounded by $y = \sqrt{x}+2$, $y=0$, $x=4$, $x=16$. (nearest hundredth)	61.29 ($h=2$; $y$-values at $x=4,6,8,10,12,14,16$: $3,\ 3.449,\ 3.828,\ 4.162,\ 4.464,\ 4.742,\ 6$; trap sum $= (2/2)(3+2(21.645)+6) = 61.29$)
Mathematics	Calculus	Find the exact area of the region bounded by $y = \sqrt{x}+2$, $y=0$, $x=4$, $x=16$.	$61\dfrac{1}{3}$ $\left(\int_4^{16}(\sqrt{x}+2)\,dx = \left[\frac{2}{3}x^{3/2}+2x\right]_4^{16} = \frac{184}{3} = 61\frac{1}{3}\right)$
Mathematics	Calculus	An object cools in a 55° room. At $t=0$ the object is 120°; at $t=15$ min it is 105°. When does it reach 90°? (Newton's Law of Cooling, nearest tenth)	35.4 min ($T(t)=55+65e^{kt}$; $k=\frac{\ln(10/13)}{15}$; solve $55+65e^{kt}=90 \Rightarrow t = \frac{15\ln(7/13)}{\ln(10/13)} \approx 35.4$)
Mathematics	Calculus	Naveed is evaluating $\int_0^1 \arcsin(x)\,dx$ using integration by parts. What is the best choice for $dv$?	$dx$ (let $u = \arcsin(x)$, $dv = dx$; then $du = \frac{1}{\sqrt{1-x^2}}dx$, $v = x$, which is integrable)
Mathematics	Calculus	Which test shows that $\displaystyle\sum_{n=1}^{\infty} \dfrac{n}{(n^2+1)^3}$ converges?	Integral Test (let $u=n^2+1$; $\int_1^\infty \frac{n}{(n^2+1)^3}\,dn$ converges; also comparable to $p$-series $1/n^5$)
Mathematics	Calculus	For $f(x) = \sin(x^2)$ with $x > 0$, where does the first local minimum occur? (nearest hundredth)	$x \approx 2.17$ ($f'(x) = 2x\cos(x^2) = 0 \Rightarrow x^2 = \frac{3\pi}{2}$; $x = \sqrt{\frac{3\pi}{2}} \approx 2.171$; second derivative test confirms minimum)
Mathematics	Calculus	Use the first three non-zero terms of the Maclaurin series for $f(x) = \sin(x^2)$ to approximate $f(0.25)$. (6 decimal places)	0.062459 ($\sin(x^2) \approx x^2 - \frac{x^6}{6} + \frac{x^{10}}{120}$; at $x=0.25$: $0.0625 - 0.0000407 + 0.000000008 \approx 0.062459$)
Mathematics	Statistics	Steve Strutz's home run totals: 22, 36, 44, 46, 52, 56, 50, 74, 48, 46. What is the mode?	46 homeruns (appears twice: in 1984 and 1989)
Mathematics	Statistics	Steve Strutz's home run totals: 22, 36, 44, 46, 52, 56, 50, 74, 48, 46. Find the mean. (nearest tenth)	47.4 ($\frac{22+36+44+46+52+56+50+74+48+46}{10} = \frac{474}{10} = 47.4$)
Mathematics	Statistics	Steve Strutz's home run totals: 22, 36, 44, 46, 52, 56, 50, 74, 48, 46. Which values are outliers?	22 and 74 only (sorted: $Q_1=44$, $Q_3=52$, IQR$=8$; fences: $[44-12, 52+12]=[32,64]$; 22 $<$ 32 and 74 $>$ 64)
Mathematics	Statistics	$P(\text{Obese})=0.28$, $P(\text{Obese} \cap \text{HD})=0.16$, $P(\text{Not Obese} \cap \text{No HD})=0.65$. If two males are selected at random, what is the probability at least one has heart disease? (nearest thousandth)	0.407 ($P(\text{HD})=0.16+0.07=0.23$; $P(\text{at least one HD})=1-0.77^2=1-0.5929\approx0.407$)
Mathematics	Statistics	School A (experimental curriculum) has a mean Math ACT of 23 with SD 4. School B (standard) has mean 19 with SD 3. One student is selected from each. Find the expected value of the difference in their scores.	4 ($E[A-B] = \mu_A - \mu_B = 23-19 = 4$)
Mathematics	Statistics	School A has mean Math ACT 23 with SD 4. School B has mean 19 with SD 3. One student is randomly selected from each school. Find the standard deviation of the difference in their scores.	5 ($\sigma_{A-B} = \sqrt{\sigma_A^2+\sigma_B^2} = \sqrt{16+9} = \sqrt{25} = 5$)
Mathematics	Algebra 1	The Whataburger in Wichita Falls charges $7.85 per combo meal plus 8.25% tax. A group of 5 spent $50 total. Apple pies cost $1.25 each plus 8.25% tax. How many apple pies could they order with the remaining money?	5 apple pies (5 combos = $42.49 after tax; $7.51 left; each pie = $1.353 after tax; $7.51÷$1.353 = 5)
Mathematics	Algebra 1	Student tickets cost $15.00 and adult tickets cost $25.00. A concert raised $7,700 from 372 tickets. How many adult tickets were sold?	212 adult tickets ($15s + $25a = $7700 and $s+a=372$; solving gives $a=212$)
Mathematics	Algebra 1	Line $L_1$ passes through $(-8,6)$ and $(4,-10)$. Line $L_2$ is parallel to $L_1$ and passes through $(-6,-12)$. Find the $y$-intercept of $L_2$.	$b = -20$ (slope of $L_1 = -\frac{4}{3}$; $y+12 = -\frac{4}{3}(x+6)$; at $x=0$: $y=-20$)
Mathematics	Algebra 1	Tal rented a car with a $20 upfront fee, $25/day, and $0.55/mile. He drove for 5 days and paid $241.25 total. How many miles did he drive?	175 miles ($20 + 125 + 0.55m = 241.25 \Rightarrow m=175$)
Mathematics	Algebra 1	Anthony washes and waxes a car in 45 min; Jacob does it in 60 min. Anthony works alone for 2 hours, then Jacob joins. How long does it take to complete 16 cars total? (nearest minute)	7 hr 43 min (Anthony finishes $8/3$ cars alone; rate together $= 7/180$ cars/min; remaining $40/3$ cars take $\approx 343$ min)
Mathematics	Algebra 2	Warith's house is worth $378,000 on Jan 1, 2023, and appreciates 9.35% per year. What should it be worth on Jan 1, 2035? (nearest dollar)	$\$1,104,516$ ($378000 \times 1.0935^{12} \approx \$1{,}104{,}516$)
Mathematics	Algebra 2	$f(x) = 7x^2 + 14x - 105$ has roots $a$ and $b$. Find $\dfrac{a+b}{ab}$.	$0.1\overline{3}$ (Vieta's: $a+b=-2$, $ab=-15$; $\frac{-2}{-15} = \frac{2}{15} = 0.1\overline{3}$)
Mathematics	Algebra 2	In the Whataburger problem, how many 2-liter Cokes are expected to sell at $1.20/bottle if 3,448 were sold at $1.80/bottle (inverse variation)?	5,172 cokes ($k = 1.80 \times 3448 = 6206.4$; $Q = 6206.4/1.20 = 5172$)
Mathematics	Geometry	Circle with center O, diameter GH=18, minor arc GJ=110°. Find the area of sector JOH. (nearest tenth)	49.5 ($\angle JOH = 70°$; area $= \frac{70}{360}\pi(9)^2 = \frac{70\pi \times 81}{360} \approx 49.5$)
Mathematics	Geometry	Circle with center O, diameter GH=18, minor arc GJ=110°. Find the perimeter of triangle GOJ. (nearest tenth)	32.7 ($r=9$; $GJ = \sqrt{81+81-162\cos110°} \approx 14.74$; perimeter $= 9+9+14.74 = 32.7$)
Mathematics	Geometry	A regular hexagon is inscribed in a circle of area 452. Find the perimeter of the hexagon. (nearest whole number)	72 ($r = \sqrt{452/\pi} \approx 12$; side of inscribed hexagon $= r = 12$; perimeter $= 72$)
Mathematics	Geometry	A three-quarter circle has an area of 530. Find its perimeter. (nearest whole number)	101 (full circle area $= 706.67$; $r \approx 15.0$; perimeter $= \frac{3}{4}(2\pi r)+2r \approx 100.7 \approx 101$)
Mathematics	Geometry	A right circular cone has radius 7.75 and total surface area 462. Find its volume. (nearest whole number)	511 ($\pi r(r+l)=462 \Rightarrow l \approx 11.225$; $h \approx 8.12$; $V = \frac{1}{3}\pi(60.06)(8.12) \approx 511$)
Mathematics	Geometry	A circle's equation is $x^2 + y^2 + ax + 8y - 39 = 0$, the center is in Quadrant IV, and the circumference is $16\pi$. Find $a$.	$a = -6$ ($r=8$; completing the square gives $(x+a/2)^2+(y+4)^2=64$; need $r^2=64 \Rightarrow (a/2)^2=9$; center in Q4 requires $a=-6$)
Mathematics	Geometry	Right triangle ABC, $m\angle C = 90°$, D on $\overline{AB}$ with $\overline{CD} \perp \overline{AB}$, $AC=6$, $AB=10$. Find the area of $\triangle ACD$. (nearest hundredth)	8.64 ($BC=8$; $AD=3.6$, $CD=4.8$; area $= \frac{1}{2}(3.6)(4.8) = 8.64$)
Mathematics	Algebra 2	$f(x) = 2x^3 + bx^2 + 4x - 8$. If $f(3) = 31$, find $b$.	$b = -3$ ($54+9b+12-8=31 \Rightarrow 9b=-27 \Rightarrow b=-3$)
Mathematics	Algebra 2	Four consecutive even negative integers in increasing order: the product of the first and third is 122 more than the product of $-25$ and the fourth. Find the sum of the four integers.	$-100$ (integers: $-28,-26,-24,-22$; $(-28)(-24)=672$, $(-25)(-22)+122=672$ ✓; sum $=-100$)
Mathematics	Algebra 1	How many even four-digit counting numbers are less than 7000?	3,000 (even numbers from 1000 to 6998: $\frac{6998-1000}{2}+1 = 3000$)
Mathematics	Algebra 2	The distance from $(e,-12)$ to the line $y = \frac{3}{5}x + 6$ is $\dfrac{66}{\sqrt{34}}$. Find $e$.	$e = -8$ (line: $3x-5y+30=0$; $\frac{|3e+60+30|}{\sqrt{34}}=\frac{66}{\sqrt{34}} \Rightarrow |3e+90|=66 \Rightarrow e=-8$)
Mathematics	Pre-Calc	The conic $9x^2 - 4y^2 - 36x - 24y - 36 = 0$ has foci at $(a,b)$ and $(c,b)$. Find $a+b+c$.	1.0 (hyperbola: $\frac{(x-2)^2}{4}-\frac{(y+3)^2}{9}=1$; $c=\sqrt{13}$; foci at $(2\pm\sqrt{13},-3)$; $a+b+c=(2-\sqrt{13})+(-3)+(2+\sqrt{13})=1$)
Mathematics	Pre-Calc	Two cables are attached to a vertical tower from a ground point. The angle between the cables is 20°. The longer cable (270 ft) reaches the top; the shorter is attached 105 ft below the top. Find the length of the shorter cable. (nearest whole number)	204 ft (law of cosines: $105^2=270^2+r^2-2(270)(r)\cos20°$; solving gives $r \approx 203.6 \approx 204$)
Mathematics	Algebra 2	An arithmetic sequence has 6th term 47 and 12th term 95. Find the product of the 18th and 19th terms.	21,593 ($d=8$, $a_1=7$; $a_{18}=143$, $a_{19}=151$; $143 \times 151 = 21{,}593$)
Mathematics	Algebra 2	$f(x) = \dfrac{3x-4}{5x-6}$ and $h(x) = \dfrac{-2x+5}{-3x-8}$. Find $(h^{-1} \circ f^{-1})(1)$.	$-13$ ($f^{-1}(1)=1$ (solve $f(x)=1$); $h^{-1}(1)=-13$ (solve $h(x)=1$))
Mathematics	Algebra 2	Three of the roots of $x^4 + bx^3 + cx^2 + dx + e$ are $-2$, $3$, and $1-\sqrt{5}$. The coefficients are rational. Find $b+c+d+e$.	29 (fourth root: $1+\sqrt{5}$; polynomial $=(x+2)(x-3)(x^2-2x-4)=x^4-3x^3-8x^2+16x+24$; $b+c+d+e=-3-8+16+24=29$)
Mathematics	Pre-Calc	Andrew's trumpet produces 88 dB. Twelve other trumpeters join him at the same intensity. What is the combined sound level? (nearest whole number)	99 dB ($\beta = 10\log(13I/10^{-12}) = 88 + 10\log 13 \approx 99$ dB)
Mathematics	Pre-Calc	Temperature in Idaho Falls varies sinusoidally: low 12°F at 5 AM, high 29°F at 5 PM. Find the expected temperature at midnight. (nearest tenth)	18.3°F ($T(t)=20.5-8.5\cos\!\left(\frac{2\pi(t-5)}{24}\right)$; $T(0) = 20.5-8.5\cos(75°) \approx 18.3°$)
Mathematics	Pre-Calc	Angle A is in Q2 with $\sin A = \frac{3}{5}$. Angle B is in Q3 with $\cos B = -\frac{5}{13}$. Find $\tan(A+B)$. (nearest hundredth)	0.59 ($\tan A = -\frac{3}{4}$, $\tan B = \frac{12}{5}$; $\tan(A+B) = \frac{-3/4+12/5}{1-(-3/4)(12/5)} = \frac{33/20}{56/20} = \frac{33}{56} \approx 0.59$)
Mathematics	Pre-Calc	$\dfrac{x+8}{x^2+x-6} = \dfrac{A}{x-2} + \dfrac{B}{x+3}$. Find $A + B$.	1 ($A=2$ (from $x=2$), $B=-1$ (from $x=-3$); $A+B=1$)
Mathematics	Pre-Calc	Find the angle between $\mathbf{u} = \langle 4, -6 \rangle$ and $\mathbf{v} = \langle 12, 8 \rangle$. (nearest hundredth, in radians)	1.57 rad ($\mathbf{u} \cdot \mathbf{v} = 48-48=0$; vectors are perpendicular; $\theta = \pi/2 \approx 1.57$)
Mathematics	Algebra 2	The sequence $1,\ 5,\ 12.5,\ 20\frac{5}{6},\ 26\frac{1}{24},\ \ldots$ has general term $a_n = \dfrac{5^{n-1}}{(n-1)!}$ (0-indexed). Find the 8th term. (nearest hundredth)	15.50 ($a_7 = \frac{5^7}{7!} = \frac{78125}{5040} \approx 15.50$)
Mathematics	Algebra 2	A ball is dropped from 6 feet. Each bounce reaches $\frac{3}{4}$ of the previous height. Which bounce is the first with height less than 1 foot?	7th bounce ($6 \times (3/4)^n < 1 \Rightarrow n > \frac{\ln(1/6)}{\ln(3/4)} \approx 6.23$; first whole number is $n=7$)
Mathematics	Statistics	18 study problems; 10 appear on the exam. Emmy can correctly solve 16. Find the probability she correctly solves all 10. (nearest thousandth)	0.183 $\left(\dfrac{\binom{16}{10}}{\binom{18}{10}} = \dfrac{8008}{43758} \approx 0.183\right)$
Mathematics	Pre-Calc	An ellipse has vertices $(0,4)$ and $(10,4)$, and endpoints of the minor axis $(5,2)$ and $(5,6)$. Find the eccentricity. (nearest hundredth)	0.92 (center $(5,4)$; $a=5$, $b=2$; $c=\sqrt{21}$; $e=\sqrt{21}/5 \approx 0.92$)
Mathematics	Geometry	Find the area of triangle $A(6,4,2)$, $B(8,6,10)$, $C(6,2,8)$. (nearest tenth)	15.4 ($\overrightarrow{AB}\times\overrightarrow{AC} = \langle 28,-12,-4\rangle$; $|\overrightarrow{AB}\times\overrightarrow{AC}|=\sqrt{944}\approx30.72$; area $\approx 15.4$)
Mathematics	Calculus	Find the sum of the series $2 - \dfrac{4}{3} + \dfrac{4}{15} - \dfrac{8}{315} + \cdots$	$\sin(2)$ (this is the Maclaurin series for $\sin(2)$: $2-\frac{2^3}{3!}+\frac{2^5}{5!}-\cdots$)
Mathematics	Calculus	Use the Left Rectangle Approximation Method with 6 equal subintervals to approximate the area bounded by $y = \dfrac{12}{x}+6$, $y=0$, $x=2$, $x=8$. (nearest hundredth)	55.11 (left endpoints $x=2,3,4,5,6,7$; $f$-values: $12,10,9,8.4,8,7.714$; LRAM $=1\times55.114\approx55.11$)
Mathematics	Calculus	Find the volume of the solid generated when the region bounded by $y=\frac{12}{x}+6$, $y=0$, $x=2$, $x=8$ is revolved around $x=12$. (nearest whole number)	2385 (shell method: $2\pi\int_2^8(12-x)\!\left(\frac{12}{x}+6\right)dx = 2\pi(144\ln4+180) \approx 2385$)
Mathematics	Calculus	Coffee is served at 175° in a 72° room. The temperature changes at $r(t) = -5.89e^{-0.0766t}$ °/min. What is the temperature after 5 minutes? (nearest whole number)	151° ($T(5)=175+\int_0^5 -5.89e^{-0.0766t}dt = 175-(76.89)(1-e^{-0.383})\approx151°$)
Mathematics	Calculus	$f'(x) = 2x^3 - 6\sin(x^2) + 2$. On the interval $(-2, 2)$, which of I ($x\approx-0.535$), II ($x\approx0.669$), III ($x\approx1.260$) are relative minima of $f$?	I and III only (where $f'$ changes from negative to positive)
Mathematics	Calculus	A particle moves in the $xy$-plane with $\frac{dx}{dt} = 4t\sin t$ and $\frac{dy}{dt} = 4t\cos t$. Find the speed at $t = \frac{\pi}{6}$. (nearest hundredth)	2.09 cm/s (speed $= \sqrt{(4t\sin t)^2+(4t\cos t)^2} = 4t = 4\cdot\frac{\pi}{6} = \frac{2\pi}{3} \approx 2.094$)
Mathematics	Calculus	Same particle as above, starting at $(4,8)$. Find the $y$-coordinate of the position at $t=\frac{\pi}{3}$. (nearest hundredth)	9.63 cm ($y = 8+\int_0^{\pi/3}4t\cos t\,dt = 8+[4t\sin t+4\cos t]_0^{\pi/3} \approx 9.63$)
Mathematics	Calculus	Consider the first quadrant region bounded by the $y$-axis, $x=4$, $y=10$, and $y=2\ln(5-x)$. This region is the base of a solid with square cross sections perpendicular to the $x$-axis. Find the volume. (nearest whole number)	258 ($V = \int_0^4[10-2\ln(5-x)]^2\,dx \approx 258$)
Mathematics	Statistics	Triple jump world records (years 1911–1995) are fit with an LSRL. The model overestimates the 1951 distance by ___. (nearest hundredth of a foot)	1.71 ft (LSRL overestimates 52 ft 6.25 in by ≈1.71 ft)
Mathematics	Statistics	Using the LSRL for the triple jump world record data, predict the world record in 2022. (nearest inch)	62 ft 6 in (LSRL extrapolation from 1911–1995 data)
Mathematics	Statistics	NFL punter hang times: mean 4.40 sec, SD 0.25. Jordan Stout's mean was 4.82 sec. What percentile did that place him at?	95th percentile ($z = (4.82-4.40)/0.25 = 1.68$; $P(Z<1.68) \approx 0.9535$)
Mathematics	Statistics	$X$ is normally distributed with mean 75 and SD 16. Find the approximate interquartile range. (nearest tenth)	21.6 ($Q_1 \approx 75-10.79=64.21$, $Q_3 \approx 85.79$; IQR $= 21.58 \approx 21.6$)
Mathematics	Statistics	A 96% confidence interval for a proportion will be constructed using a sample of 500 Texas high school students. What is the maximum margin of error? (nearest thousandth)	0.046 ($z^* \approx 2.054$; max MOE $= 2.054\sqrt{0.25/500} \approx 0.046$)
Mathematics	Statistics	A random sample of 360 seniors chose among Texas, A&M, Tech, TCU in ratio 3:3:4:2. Observed: 96, 82, 112, 70. A chi-square test gave a p-value of ___; researchers found insufficient evidence of a difference. (nearest thousandth)	0.346 ($\chi^2 = 0.4+0.711+0.533+1.667 = 3.311$; $df=3$; $p \approx 0.346$)
Mathematics	Statistics	95% of steroid-using Olympic athletes test positive on a new test; 98% of non-users test negative. If 10% of athletes use steroids, what percent will test positive? (nearest tenth)	11.3% ($P(+)=0.10(0.95)+0.90(0.02)=0.095+0.018=0.113$)
Mathematics	Statistics	16 of 88 randomly selected seniors and 21 of 72 juniors plan to study CS. Find the standard error of the difference between the two sample proportions. (nearest ten-thousandth)	0.0675 ($SE = \sqrt{\frac{\hat{p}_1(1-\hat{p}_1)}{88}+\frac{\hat{p}_2(1-\hat{p}_2)}{72}} = \sqrt{0.001690+0.002869} \approx 0.0675$)
Mathematics	Algebra 1	Points $A(-4,8)$, $B(8,2)$, $C(2,-2)$, $D(6,6)$. Line $\overleftrightarrow{AB}$ intersects $\overleftrightarrow{CD}$ at point $P(a,b)$. Find $a+b$. (nearest tenth)	8.4 ($\overleftrightarrow{AB}$: $y=-\frac{x}{2}+6$; $\overleftrightarrow{CD}$: $y=2x-6$; intersection at $(4.8,3.6)$; $4.8+3.6=8.4$)
Mathematics	Algebra 1	Points $A(-4,8)$ and $B(8,2)$. Point $E(r,3)$ lies on the perpendicular bisector of $\overline{AB}$. Find $r$. (nearest tenth)	1.0 (midpoint of $AB = (2,5)$; perpendicular slope $= 2$; line $y=2x+1$; at $y=3$: $x=1.0$)
Mathematics	Pre-Calc	$h(x) = \dfrac{\sqrt{x}}{\sqrt{16-x^2}}$. Find the domain of $h(x)$.	$[0,4)$ ($x \geq 0$ for numerator; $16-x^2>0 \Rightarrow x<4$; combined: $[0,4)$)
Mathematics	Pre-Calc	$h(x) = \dfrac{\sqrt{x}}{\sqrt{16-x^2}}$. Find the range of $h(x)$.	$[0,\infty)$ (at $x=0$: $h=0$; as $x\to4^-$: $h\to\infty$)
Mathematics	Algebra 1	Mary trimmed a square picture: 10 inches from the length and 6 from the width. The trimmed area is 780 sq in. What was the perimeter of the original square? (nearest inch)	144 in ($(s-10)(s-6)=780 \Rightarrow s=36$; perimeter $=4\times36=144$)
Mathematics	Algebra 2	The number of cougars in a protected area varies directly as acres and inversely as (grizzly bears)². With 600 acres, 88 cougars, and 12 bears: how many cougars if there are 964 acres and 22 bears?	42 ($k = 88\times144/600 = 21.12$; cougars $= 21.12\times964/484 \approx 42$)
Mathematics	Geometry	Circle $O$: chord $\overline{AC} \perp$ diameter $\overline{BD}$, $BD=20$, $AC=16$. Find $BE$.  (nearest tenth)	4.0 ($OA=r=10$; $AE=8$; $OE=\sqrt{100-64}=6$; $BE=10-6=4.0$)
